timestamp,algorithm,order,size,case,duration
2025-11-12 19:09:37,Bubble,Asc,0,random,9e-06
2025-11-12 19:09:37,Selection,Asc,0,random,5e-06
2025-11-12 19:09:37,Quick,Asc,0,random,6e-06
2025-11-12 19:09:37,Merge,Asc,0,random,5e-06
2025-11-12 19:09:37,Shell,Asc,0,random,5e-06
2025-11-12 19:09:37,Bubble,Desc,0,random,4e-06
2025-11-12 19:09:37,Selection,Desc,0,random,4e-06
2025-11-12 19:09:37,Quick,Desc,0,random,5e-06
2025-11-12 19:09:37,Merge,Desc,0,random,5e-06
2025-11-12 19:09:37,Shell,Desc,0,random,5e-06
2025-11-12 19:09:37,Bubble,Asc,1,random,5e-06
2025-11-12 19:09:37,Selection,Asc,1,random,6e-06
2025-11-12 19:09:37,Quick,Asc,1,random,5e-06
2025-11-12 19:09:37,Merge,Asc,1,random,5e-06
2025-11-12 19:09:37,Shell,Asc,1,random,5e-06
2025-11-12 19:09:37,Bubble,Desc,1,random,5e-06
2025-11-12 19:09:37,Selection,Desc,1,random,6e-06
2025-11-12 19:09:37,Quick,Desc,1,random,7e-06
2025-11-12 19:09:37,Merge,Desc,1,random,5e-06
2025-11-12 19:09:37,Shell,Desc,1,random,5e-06
2025-11-12 19:09:37,Bubble,Asc,10,random,1.8e-05
2025-11-12 19:09:37,Selection,Asc,10,random,1e-05
2025-11-12 19:09:37,Quick,Asc,10,random,4.8e-05
2025-11-12 19:09:37,Merge,Asc,10,random,2.1e-05
2025-11-12 19:09:37,Shell,Asc,10,random,1e-05
2025-11-12 19:09:37,Bubble,Desc,10,random,1.6e-05
2025-11-12 19:09:37,Selection,Desc,10,random,1.2e-05
2025-11-12 19:09:37,Quick,Desc,10,random,2.1e-05
2025-11-12 19:09:37,Merge,Desc,10,random,2e-05
2025-11-12 19:09:37,Shell,Desc,10,random,1e-05
2025-11-12 19:09:37,Bubble,Asc,100,random,0.000451
2025-11-12 19:09:37,Selection,Asc,100,random,0.000262
2025-11-12 19:09:37,Quick,Asc,100,random,0.000138
2025-11-12 19:09:37,Merge,Asc,100,random,0.00019
2025-11-12 19:09:37,Shell,Asc,100,random,9e-05
2025-11-12 19:09:37,Bubble,Desc,100,random,0.000721
2025-11-12 19:09:37,Selection,Desc,100,random,0.000382
2025-11-12 19:09:37,Quick,Desc,100,random,0.000184
2025-11-12 19:09:37,Merge,Desc,100,random,0.000272
2025-11-12 19:09:37,Shell,Desc,100,random,0.000119
2025-11-12 19:09:37,Bubble,Asc,1000,random,0.066438
2025-11-12 19:09:37,Selection,Asc,1000,random,0.034461
2025-11-12 19:09:37,Quick,Asc,1000,random,0.002149
2025-11-12 19:09:37,Merge,Asc,1000,random,0.002265
2025-11-12 19:09:37,Shell,Asc,1000,random,0.001759
2025-11-12 19:09:37,Bubble,Desc,1000,random,0.066201
2025-11-12 19:09:37,Selection,Desc,1000,random,0.034539
2025-11-12 19:09:37,Quick,Desc,1000,random,0.002077
2025-11-12 19:09:37,Merge,Desc,1000,random,0.002783
2025-11-12 19:09:37,Shell,Desc,1000,random,0.001573
2025-11-12 19:09:37,Bubble,Asc,0,sorted,7e-06
2025-11-12 19:09:37,Selection,Asc,0,sorted,5e-06
2025-11-12 19:09:37,Quick,Asc,0,sorted,1.2e-05
2025-11-12 19:09:37,Merge,Asc,0,sorted,6e-06
2025-11-12 19:09:37,Shell,Asc,0,sorted,7e-06
