2025-11-12 19:09:37 - Selection  | Asc  | size=    10 | case=sorted         | duration=0.000014s
2025-11-12 19:09:37 - Quick      | Asc  | size=    10 | case=sorted         | duration=0.000023s
2025-11-12 19:09:37 - Merge      | Asc  | size=    10 | case=sorted         | duration=0.000023s
2025-11-12 19:09:37 - Shell      | Asc  | size=    10 | case=sorted         | duration=0.000013s
2025-11-12 19:09:37 - Bubble     | Desc | size=    10 | case=sorted         | duration=0.000019s
2025-11-12 19:09:37 - Selection  | Desc | size=    10 | case=sorted         | duration=0.000014s
2025-11-12 19:09:37 - Quick      | Desc | size=    10 | case=sorted         | duration=0.000025s
2025-11-12 19:09:37 - Merge      | Desc | size=    10 | case=sorted         | duration=0.000024s
2025-11-12 19:09:37 - Shell      | Desc | size=    10 | case=sorted         | duration=0.000013s
2025-11-12 19:09:37 - Bubble     | Asc  | size=   100 | case=sorted         | duration=0.000395s
2025-11-12 19:09:37 - Selection  | Asc  | size=   100 | case=sorted         | duration=0.000318s
2025-11-12 19:09:37 - Quick      | Asc  | size=   100 | case=sorted         | duration=0.000145s
2025-11-12 19:09:37 - Merge      | Asc  | size=   100 | case=sorted         | duration=0.000181s
2025-11-12 19:09:37 - Shell      | Asc  | size=   100 | case=sorted         | duration=0.000074s
2025-11-12 19:09:37 - Bubble     | Desc | size=   100 | case=sorted         | duration=0.000819s
2025-11-12 19:09:37 - Selection  | Desc | size=   100 | case=sorted         | duration=0.000344s
2025-11-12 19:09:37 - Quick      | Desc | size=   100 | case=sorted         | duration=0.000150s
2025-11-12 19:09:37 - Merge      | Desc | size=   100 | case=sorted         | duration=0.000177s
2025-11-12 19:09:37 - Shell      | Desc | size=   100 | case=sorted         | duration=0.000101s
2025-11-12 19:09:37 - Bubble     | Asc  | size=  1000 | case=sorted         | duration=0.041265s
2025-11-12 19:09:37 - Selection  | Asc  | size=  1000 | case=sorted         | duration=0.033517s
2025-11-12 19:09:37 - Quick      | Asc  | size=  1000 | case=sorted         | duration=0.001492s
2025-11-12 19:09:37 - Merge      | Asc  | size=  1000 | case=sorted         | duration=0.001414s
2025-11-12 19:09:37 - Shell      | Asc  | size=  1000 | case=sorted         | duration=0.000927s
2025-11-12 19:09:37 - Bubble     | Desc | size=  1000 | case=sorted         | duration=0.084285s
2025-11-12 19:09:37 - Selection  | Desc | size=  1000 | case=sorted         | duration=0.033314s
2025-11-12 19:09:37 - Quick      | Desc | size=  1000 | case=sorted         | duration=0.001105s
2025-11-12 19:09:38 - Merge      | Desc | size=  1000 | case=sorted         | duration=0.002069s
2025-11-12 19:09:38 - Shell      | Desc | size=  1000 | case=sorted         | duration=0.001635s
