,team26_vidyavichar,team27_vidyavichar,team6_vidyavichar,team13_vidyavichar,team16_vidyavichar,team33_vidyavichar,team22_vidyavichar,team32_vidyavichar,team3_vidyavichar,team20_vidyavichar,team24_vidyavichar,team29_vidyavichar,team14_vidyavichar,team28_vidyavichar,team21_vidyavichar,team5_vidyavichar,team25_vidyavichar,team31_vidyavichar,team10_vidyavichar
team26_vidyavichar,1.0,0.7799355980026206,0.9443428297704578,0.9233687102300489,0.8452764345475026,0.3412655965035105,0.9332939696880648,0.9260877392566874,0.9647660988764323,0.9646223456384212,0.3096544966240201,0.9165590349070447,0.9527350172686877,0.9249061416451114,0.9181543922128369,0.9582107600677666,0.9522574807046782,0.3076345620183383,0.9126571474502904
team27_vidyavichar,0.7799355980026206,1.0,0.7920219386981097,0.6904166656919152,0.7722555860965589,0.5130444365536517,0.7433929540979286,0.6907691518208017,0.7392707876072183,0.7484292542258258,0.4644973694127362,0.6846518537936066,0.7541120230508292,0.7038599058401346,0.6786634010447635,0.7533323536431928,0.7815545191603703,0.4786633660773364,0.7786050985504849
team6_vidyavichar,0.9443428297704578,0.7920219386981097,1.0,0.8902043747234176,0.8826204066433218,0.3980030859960553,0.9107255450209921,0.892796435231992,0.9516320388164221,0.9300749089759491,0.3556274244920427,0.8835688577527049,0.9375089806882754,0.8926019506597639,0.8889835607403282,0.9451314840263864,0.938172264385052,0.3730493527422145,0.9216805619145355
team13_vidyavichar,0.9233687102300489,0.6904166656919152,0.8902043747234176,1.0,0.7811059202788353,0.1666377349597461,0.9919491730184702,0.9980585433689299,0.9645568932490981,0.9635787700878012,0.12753105638881718,0.9979829159481626,0.9690890591117891,0.9980913674668519,0.9973995581973684,0.9615338730620631,0.9680172898710602,0.17804716487322036,0.8912091639412629
team16_vidyavichar,0.8452764345475026,0.7722555860965589,0.8826204066433218,0.7811059202788353,1.0,0.5476500147452326,0.8101005736500757,0.7808787387336884,0.8367913210053878,0.8360567300124208,0.5130045462150132,0.7693760390372764,0.8076839444730035,0.7811125512220095,0.7691390122816913,0.8265656331405695,0.8422542407780135,0.5080360428327027,0.8538879843963806
team33_vidyavichar,0.3412655965035105,0.5130444365536517,0.3980030859960553,0.1666377349597461,0.5476500147452326,1.0,0.20741512327072692,0.1716911990584103,0.252686577718308,0.2719658915755762,0.888185581589874,0.14642447823139126,0.25243495828679324,0.16808066800746504,0.14684029702404397,0.26430133257377153,0.25635001234243227,0.7780176370009008,0.3788463260369483
team22_vidyavichar,0.9332939696880648,0.7433929540979286,0.9107255450209921,0.9919491730184702,0.8101005736500757,0.20741512327072692,1.0,0.9930724908847047,0.9685664736094431,0.9694058823238737,0.16617731966694313,0.9917407603003768,0.9771356493611969,0.9936153327196092,0.9915388730315957,0.9703631392480836,0.979023218723929,0.22916064465830238,0.9045245856026811
team32_vidyavichar,0.9260877392566874,0.6907691518208017,0.892796435231992,0.9980585433689299,0.7808787387336884,0.1716911990584103,0.9930724908847047,1.0,0.9667221117262131,0.9654821691801782,0.1350697298650817,0.9992742885843424,0.97317021710772,0.9997351970245001,0.9990201986604369,0.9622407177222471,0.9692704302853076,0.18016620335324415,0.8954896397692487
team3_vidyavichar,0.9647660988764323,0.7392707876072183,0.9516320388164221,0.9645568932490981,0.8367913210053878,0.252686577718308,0.9685664736094431,0.9667221117262131,1.0,0.980375393592966,0.21956842707200291,0.9617973715105893,0.9755092418631424,0.9669396885681425,0.961437605936682,0.9780924913478711,0.9778876866972551,0.2465759491458969,0.9115344767549223
team20_vidyavichar,0.9646223456384212,0.7484292542258258,0.9300749089759491,0.9635787700878012,0.8360567300124208,0.2719658915755762,0.9694058823238737,0.9654821691801782,0.980375393592966,1.0,0.2369507025088049,0.9591469807445386,0.9697669421425386,0.9649888060205224,0.9585062045997149,0.9781793288854433,0.9823782575618367,0.2619835145952005,0.9081981800913294
