,team26_vidyavichar,team27_vidyavichar,team6_vidyavichar,team13_vidyavichar,team16_vidyavichar,team33_vidyavichar,team22_vidyavichar,team32_vidyavichar,team3_vidyavichar,team20_vidyavichar,team24_vidyavichar,team29_vidyavichar,team14_vidyavichar,team28_vidyavichar,team21_vidyavichar,team5_vidyavichar,team25_vidyavichar,team31_vidyavichar,team10_vidyavichar
team26_vidyavichar,1.0,0.7168893652652215,0.8604939761345831,0.8538688209956484,0.7485193391106015,0.4273118551632191,0.7745113904695899,0.8317606404532365,0.8555053152847085,0.8770413560268233,0.4746923060656402,0.7361186391798279,0.8602232355478487,0.8880086947702275,0.7899743131231274,0.8357918342242401,0.8507040073781118,0.3961387615565537,0.8744119992598975
team27_vidyavichar,0.7168893652652215,1.0,0.6974235925814865,0.671425200826565,0.725706840113105,0.5841763983232887,0.6629850578574277,0.6692043278257493,0.6928686329103175,0.7161152138520466,0.6039207638331745,0.6245784251376137,0.734394340597218,0.6990029733769618,0.7390015740993027,0.7444646398025578,0.6912550371757213,0.5893880828960913,0.7013290385508674
team6_vidyavichar,0.8604939761345831,0.6974235925814865,1.0,0.7926443942485348,0.7543622423967726,0.48926261398599,0.8080689306777898,0.7645252321454716,0.8585277798695197,0.8560214076725958,0.4716429869272649,0.7285884893882907,0.8423873067495016,0.7923641753844404,0.7618470116818168,0.8133978976743419,0.8950971258180684,0.43793515233735003,0.8290951081969801
team13_vidyavichar,0.8538688209956484,0.671425200826565,0.7926443942485348,1.0,0.6879221780464642,0.32467951253736793,0.7987478237490835,0.8529495105588252,0.8216555156828398,0.8461630970680944,0.40916481357622825,0.7527620873859212,0.8608664592266329,0.8687950386049847,0.798609962849723,0.8450901358363025,0.8565164518748517,0.3516373907101302,0.8465245867792647
team16_vidyavichar,0.7485193391106015,0.725706840113105,0.7543622423967726,0.6879221780464642,1.0,0.4818364842650431,0.7084053466701277,0.6659561929363936,0.687243334272147,0.7105319255407045,0.5478778741440987,0.6459818127844981,0.7490835821206886,0.672728737302066,0.7294005156520664,0.7611288946369426,0.742333282913754,0.5313435767668779,0.7362501877941976
team33_vidyavichar,0.4273118551632191,0.5841763983232887,0.48926261398599,0.32467951253736793,0.4818364842650431,1.0,0.34003285334319144,0.3820587589022054,0.44716061404434104,0.3706701154705472,0.8111225811468755,0.3692385467130818,0.3573169860647657,0.39848884611063295,0.4003640621893566,0.4420466095432055,0.3715567773192048,0.7204771996447665,0.4276606846271284
team22_vidyavichar,0.7745113904695899,0.6629850578574277,0.8080689306777898,0.7987478237490835,0.7084053466701277,0.34003285334319144,1.0,0.8417178642883458,0.8544224372757627,0.8114742222711036,0.4117217189042136,0.7379344751318919,0.8028241303698462,0.8497961187810217,0.8164621057204073,0.8234485541680978,0.8398829884602051,0.35489203283605303,0.7773631615506656
team32_vidyavichar,0.8317606404532365,0.6692043278257493,0.7645252321454716,0.8529495105588252,0.6659561929363936,0.3820587589022054,0.8417178642883458,1.0,0.9019607237690777,0.8565923220331342,0.48929783361952045,0.7506889541099089,0.8002383493519342,0.9250361813537851,0.8600210384055484,0.8155973858010965,0.8073495701874904,0.38558219274143163,0.8125820255368517
team3_vidyavichar,0.8555053152847085,0.6928686329103175,0.8585277798695197,0.8216555156828398,0.687243334272147,0.44716061404434104,0.8544224372757627,0.9019607237690777,1.0,0.8507961923007603,0.4627560309722432,0.7264119983835458,0.8295046743213361,0.9031451709522289,0.8594730415761491,0.848745394922963,0.8446014397388873,0.40760360274833707,0.807380254989715
team20_vidyavichar,0.8770413560268233,0.7161152138520466,0.8560214076725958,0.8461630970680944,0.7105319255407045,0.3706701154705472,0.8114742222711036,0.8565923220331342,0.8507961923007603,1.0,0.4533812923533357,0.7783777442730013,0.8744261184018487,0.8397224173589395,0.7736555139262107,0.8213427858937844,0.8912044867765954,0.38287068923798173,0.8398906093746827
team24_vidyavichar,0.4746923060656402,0.6039207638331745,0.4716429869272649,0.40916481357622825,0.5478778741440987,0.8111225811468755,0.4117217189042136,0.48929783361952045,0.4627560309722432,0.4533812923533357,1.0,0.3714088298192414,0.42366889708495103,0.45557953835495435,0.44530503518885983,0.5038274179833504,0.4186272131397569,0.7029054552520373,0.5096337274391536
team29_vidyavichar,0.7361186391798279,0.6245784251376137,0.7285884893882907,0.7527620873859212,0.6459818127844981,0.3692385467130818,0.7379344751318919,0.7506889541099089,0.7264119983835458,0.7783777442730013,0.3714088298192414,1.0,0.7597701388537157,0.753910600815185,0.7650403412359444,0.7537325299720932,0.7458049613819275,0.4522764070982762,0.7410014838891745
team14_vidyavichar,0.8602232355478487,0.734394340597218,0.8423873067495016,0.8608664592266329,0.7490835821206886,0.3573169860647657,0.8028241303698462,0.8002383493519342,0.8295046743213361,0.8744261184018487,0.42366889708495103,0.7597701388537157,1.0,0.8337330666573006,0.816062084239866,0.8385992776401909,0.8996459150691405,0.41016213532293766,0.8449891096298243
team28_vidyavichar,0.8880086947702275,0.6990029733769618,0.7923641753844404,0.8687950386049847,0.672728737302066,0.39848884611063295,0.8497961187810217,0.9250361813537851,0.9031451709522289,0.8397224173589395,0.45557953835495435,0.753910600815185,0.8337330666573006,1.0,0.8803465573355014,0.8552431413654651,0.8242201246953391,0.37542140505611177,0.8398324225956344
team21_vidyavichar,0.7899743131231274,0.7390015740993027,0.7618470116818168,0.798609962849723,0.7294005156520664,0.4003640621893566,0.8164621057204073,0.8600210384055484,0.8594730415761491,0.7736555139262107,0.44530503518885983,0.7650403412359444,0.816062084239866,0.8803465573355014,1.0,0.8440026985336163,0.7722200088781399,0.46275694292485725,0.7633365301125317
team5_vidyavichar,0.8357918342242401,0.7444646398025578,0.8133978976743419,0.8450901358363025,0.7611288946369426,0.4420466095432055,0.8234485541680978,0.8155973858010965,0.848745394922963,0.8213427858937844,0.5038274179833504,0.7537325299720932,0.8385992776401909,0.8552431413654651,0.8440026985336163,1.0,0.8538051915913105,0.42118245159295464,0.828244090743475
team25_vidyavichar,0.8507040073781118,0.6912550371757213,0.8950971258180684,0.8565164518748517,0.742333282913754,0.3715567773192048,0.8398829884602051,0.8073495701874904,0.8446014397388873,0.8912044867765954,0.4186272131397569,0.7458049613819275,0.8996459150691405,0.8242201246953391,0.7722200088781399,0.8538051915913105,1.0,0.3634811826304598,0.849478611488405
team31_vidyavichar,0.3961387615565537,0.5893880828960913,0.43793515233735003,0.3516373907101302,0.5313435767668779,0.7204771996447665,0.35489203283605303,0.38558219274143163,0.40760360274833707,0.38287068923798173,0.7029054552520373,0.4522764070982762,0.41016213532293766,0.37542140505611177,0.46275694292485725,0.42118245159295464,0.3634811826304598,1.0,0.4169178573100055
team10_vidyavichar,0.8744119992598975,0.7013290385508674,0.8290951081969801,0.8465245867792647,0.7362501877941976,0.4276606846271284,0.7773631615506656,0.8125820255368517,0.807380254989715,0.8398906093746827,0.5096337274391536,0.7410014838891745,0.8449891096298243,0.8398324225956344,0.7633365301125317,0.828244090743475,0.849478611488405,0.4169178573100055,1.0
