,team26_vidyavichar,team27_vidyavichar,team6_vidyavichar,team13_vidyavichar,team16_vidyavichar,team33_vidyavichar,team22_vidyavichar,team32_vidyavichar,team3_vidyavichar,team20_vidyavichar,team24_vidyavichar,team29_vidyavichar,team14_vidyavichar,team28_vidyavichar,team21_vidyavichar,team5_vidyavichar,team25_vidyavichar,team31_vidyavichar,team10_vidyavichar
team26_vidyavichar,1.0,0.4649208500751988,0.6688715876636624,0.6629166666666666,0.5695739638447972,0.5028878954865798,0.3993015178338939,0.6050607659881009,0.5937816764132554,0.6734317549995517,0.5455370753676705,0.4531373003823662,0.6668265479179646,0.7699981962481963,0.447938848558177,0.5491872710622712,0.6041100154343915,0.23894037979564298,0.7755297557619539
team27_vidyavichar,0.4649208500751988,1.0,0.35129233636342694,0.43336793312212074,0.6218463436141897,0.5327630965658804,0.3209979868289118,0.4515570516767442,0.43769557086648236,0.5101723100799551,0.5738360106599779,0.4207147496551802,0.558862576086574,0.4873769616553707,0.650090152364035,0.5786331911564302,0.3528290723687386,0.474943863117263,0.41827014825635667
team6_vidyavichar,0.6688715876636624,0.35129233636342694,1.0,0.502218772022551,0.5897789902998236,0.5411996003565771,0.5374697075692386,0.4353388139576515,0.625421004207724,0.6696308119864485,0.4204158817917645,0.47928982354854444,0.6719572159872136,0.5272539837332664,0.4137887671738478,0.55190756433489,0.7927850035040646,0.23294162233115723,0.6061069397808454
team13_vidyavichar,0.6629166666666666,0.43336793312212074,0.502218772022551,1.0,0.4597167107583774,0.39293981481481477,0.36966439222439507,0.5247971301013764,0.47616898148148157,0.5622041745134966,0.5145078812316715,0.31104166666666666,0.6501041666666667,0.5893560606060606,0.36121527777777784,0.6002461080586081,0.6015310379834595,0.21943452380952377,0.6703756313131313
team16_vidyavichar,0.5695739638447972,0.6218463436141897,0.5897789902998236,0.4597167107583774,1.0,0.43476094750765804,0.4765045091398028,0.38461774037047647,0.38435541979949883,0.519347760290557,0.5410075284690627,0.4937317251461988,0.6784524502917966,0.41379176582027455,0.5954200460642346,0.6089489214489214,0.5388865837525025,0.424735667293233,0.5745041637069501
team33_vidyavichar,0.5028878954865798,0.5327630965658804,0.5411996003565771,0.39293981481481477,0.43476094750765804,1.0,0.396826687326043,0.5775412140260223,0.6969271717600454,0.3841763070576629,0.6550240178905751,0.566683201058201,0.3578181505221876,0.6393570890728766,0.6796688053032307,0.6141483516483517,0.40841056031518075,0.5184674122174122,0.435890770449594
team22_vidyavichar,0.3993015178338939,0.3209979868289118,0.5374697075692386,0.36966439222439507,0.4765045091398028,0.396826687326043,1.0,0.5183123807298404,0.5845882268170676,0.4607759187488881,0.49593901610147006,0.32368893658768694,0.4437961094777937,0.5376799105893795,0.4250620363787633,0.5066597841361992,0.5234966512810575,0.18972076810030147,0.42347193594418897
team32_vidyavichar,0.6050607659881009,0.4515570516767442,0.4353388139576515,0.5247971301013764,0.38461774037047647,0.5775412140260223,0.5183123807298404,1.0,0.763385785851882,0.6105554071523536,0.7659208978380958,0.2869189709971839,0.4589833448627134,0.7848453647588366,0.575248588531986,0.5168385513646586,0.45107060663372156,0.3317606546804617,0.5616766347980644
team3_vidyavichar,0.5937816764132554,0.43769557086648236,0.625421004207724,0.47616898148148157,0.38435541979949883,0.6969271717600454,0.5845882268170676,0.763385785851882,1.0,0.5491959530607698,0.6250794185288746,0.3316815714802239,0.5315893843918491,0.7626891781840777,0.618047185979655,0.571268315018315,0.546625597704375,0.3532904140952742,0.5195323331352744
team20_vidyavichar,0.6734317549995517,0.5101723100799551,0.6696308119864485,0.5622041745134966,0.519347760290557,0.3841763070576629,0.4607759187488881,0.6105554071523536,0.5491959530607698,1.0,0.5361363930767153,0.4449832438502298,0.6695218822811201,0.5521728165671336,0.35329854147646467,0.47865632092327004,0.7066024851706456,0.21541412253921477,0.6230458246472703
team24_vidyavichar,0.5455370753676705,0.5738360106599779,0.4204158817917645,0.5145078812316715,0.5410075284690627,0.6550240178905751,0.49593901610147006,0.7659208978380958,0.6250794185288746,0.5361363930767153,1.0,0.3891434643535492,0.446067372084895,0.6605099092077842,0.6754154921306084,0.7011883949383949,0.4376406454594879,0.41335455622983597,0.563793844517279
team29_vidyavichar,0.4531373003823662,0.4207147496551802,0.47928982354854444,0.31104166666666666,0.4937317251461988,0.566683201058201,0.32368893658768694,0.2869189709971839,0.3316815714802239,0.4449832438502298,0.3891434643535492,1.0,0.3980227294067732,0.3334170860762008,0.41563433969289865,0.43264652014652016,0.39497948959210283,0.5852554563492063,0.41842320261437904
team14_vidyavichar,0.6668265479179646,0.558862576086574,0.6719572159872136,0.6501041666666667,0.6784524502917966,0.3578181505221876,0.4437961094777937,0.4589833448627134,0.5315893843918491,0.6695218822811201,0.446067372084895,0.3980227294067732,1.0,0.5220826534872809,0.4851706784195411,0.5275379049719938,0.7510714934218128,0.3162526293929616,0.632123351260724
team28_vidyavichar,0.7699981962481963,0.4873769616553707,0.5272539837332664,0.5893560606060606,0.41379176582027455,0.6393570890728766,0.5376799105893795,0.7848453647588366,0.7626891781840777,0.5521728165671336,0.6605099092077842,0.3334170860762008,0.5220826534872809,1.0,0.6098456935532364,0.6099473443223443,0.4699158377340483,0.3038133456885296,0.6365586007130125
team21_vidyavichar,0.447938848558177,0.650090152364035,0.4137887671738478,0.36121527777777784,0.5954200460642346,0.6796688053032307,0.4250620363787633,0.575248588531986,0.618047185979655,0.35329854147646467,0.6754154921306084,0.41563433969289865,0.4851706784195411,0.6098456935532364,1.0,0.5854395604395605,0.29936626141071987,0.6329565609352187,0.4007464349376113
team5_vidyavichar,0.5491872710622712,0.5786331911564302,0.55190756433489,0.6002461080586081,0.6089489214489214,0.6141483516483517,0.5066597841361992,0.5168385513646586,0.571268315018315,0.47865632092327004,0.7011883949383949,0.43264652014652016,0.5275379049719938,0.6099473443223443,0.5854395604395605,1.0,0.5657175500014602,0.3417124542124542,0.5948058885558885
team25_vidyavichar,0.6041100154343915,0.3528290723687386,0.7927850035040646,0.6015310379834595,0.5388865837525025,0.40841056031518075,0.5234966512810575,0.45107060663372156,0.546625597704375,0.7066024851706456,0.4376406454594879,0.39497948959210283,0.7510714934218128,0.4699158377340483,0.29936626141071987,0.5657175500014602,1.0,0.1514467708045928,0.6195993210968698
team31_vidyavichar,0.23894037979564298,0.474943863117263,0.23294162233115723,0.21943452380952377,0.424735667293233,0.5184674122174122,0.18972076810030147,0.3317606546804617,0.3532904140952742,0.21541412253921477,0.41335455622983597,0.5852554563492063,0.3162526293929616,0.3038133456885296,0.6329565609352187,0.3417124542124542,0.1514467708045928,1.0,0.21063868729309898
team10_vidyavichar,0.7755297557619539,0.41827014825635667,0.6061069397808454,0.6703756313131313,0.5745041637069501,0.435890770449594,0.42347193594418897,0.5616766347980644,0.5195323331352744,0.6230458246472703,0.563793844517279,0.41842320261437904,0.632123351260724,0.6365586007130125,0.4007464349376113,0.5948058885558885,0.6195993210968698,0.21063868729309898,1.0
