2025-11-12 02:08:24 - Merge      | Desc | size=   100 | case=sorted         | duration=0.000160s
2025-11-12 02:08:24 - Bubble     | Asc  | size=  1000 | case=sorted         | duration=0.045660s
2025-11-12 02:08:24 - Selection  | Asc  | size=  1000 | case=sorted         | duration=0.028823s
2025-11-12 02:08:24 - Quick      | Asc  | size=  1000 | case=sorted         | duration=0.001660s
2025-11-12 02:08:24 - Merge      | Asc  | size=  1000 | case=sorted         | duration=0.001645s
2025-11-12 02:08:24 - Bubble     | Desc | size=  1000 | case=sorted         | duration=0.088123s
2025-11-12 02:08:24 - Selection  | Desc | size=  1000 | case=sorted         | duration=0.031706s
2025-11-12 02:08:24 - Quick      | Desc | size=  1000 | case=sorted         | duration=0.001232s
2025-11-12 02:08:24 - Merge      | Desc | size=  1000 | case=sorted         | duration=0.001298s
2025-11-12 02:08:24 - Bubble     | Asc  | size=     0 | case=reversed       | duration=0.000009s
2025-11-12 02:08:24 - Selection  | Asc  | size=     0 | case=reversed       | duration=0.000010s
2025-11-12 02:08:24 - Quick      | Asc  | size=     0 | case=reversed       | duration=0.000008s
2025-11-12 02:08:24 - Merge      | Asc  | size=     0 | case=reversed       | duration=0.000008s
2025-11-12 02:08:24 - Bubble     | Desc | size=     0 | case=reversed       | duration=0.000005s
2025-11-12 02:08:24 - Selection  | Desc | size=     0 | case=reversed       | duration=0.000008s
2025-11-12 02:08:24 - Quick      | Desc | size=     0 | case=reversed       | duration=0.000007s
2025-11-12 02:08:24 - Merge      | Desc | size=     0 | case=reversed       | duration=0.000008s
2025-11-12 02:08:24 - Bubble     | Asc  | size=     1 | case=reversed       | duration=0.000013s
2025-11-12 02:08:24 - Selection  | Asc  | size=     1 | case=reversed       | duration=0.000010s
2025-11-12 02:08:24 - Quick      | Asc  | size=     1 | case=reversed       | duration=0.000007s
2025-11-12 02:08:24 - Merge      | Asc  | size=     1 | case=reversed       | duration=0.000008s
2025-11-12 02:08:24 - Bubble     | Desc | size=     1 | case=reversed       | duration=0.000008s
2025-11-12 02:08:24 - Selection  | Desc | size=     1 | case=reversed       | duration=0.000008s
2025-11-12 02:08:24 - Quick      | Desc | size=     1 | case=reversed       | duration=0.000010s
2025-11-12 02:08:24 - Merge      | Desc | size=     1 | case=reversed       | duration=0.000011s
2025-11-12 02:08:24 - Bubble     | Asc  | size=    10 | case=reversed       | duration=0.000015s
2025-11-12 02:08:24 - Selection  | Asc  | size=    10 | case=reversed       | duration=0.000033s
2025-11-12 02:08:24 - Quick      | Asc  | size=    10 | case=reversed       | duration=0.000030s
2025-11-12 02:08:24 - Merge      | Asc  | size=    10 | case=reversed       | duration=0.000024s
2025-11-12 02:08:24 - Bubble     | Desc | size=    10 | case=reversed       | duration=0.000023s
2025-11-12 02:08:24 - Selection  | Desc | size=    10 | case=reversed       | duration=0.000015s
2025-11-12 02:08:24 - Quick      | Desc | size=    10 | case=reversed       | duration=0.000026s
2025-11-12 02:08:24 - Merge      | Desc | size=    10 | case=reversed       | duration=0.000023s
2025-11-12 02:08:24 - Bubble     | Asc  | size=   100 | case=reversed       | duration=0.000748s
2025-11-12 02:08:24 - Selection  | Asc  | size=   100 | case=reversed       | duration=0.000309s
2025-11-12 02:08:24 - Quick      | Asc  | size=   100 | case=reversed       | duration=0.000183s
2025-11-12 02:08:24 - Merge      | Asc  | size=   100 | case=reversed       | duration=0.000161s
2025-11-12 02:08:24 - Bubble     | Desc | size=   100 | case=reversed       | duration=0.000418s
2025-11-12 02:08:24 - Selection  | Desc | size=   100 | case=reversed       | duration=0.000322s
2025-11-12 02:08:24 - Quick      | Desc | size=   100 | case=reversed       | duration=0.000173s
2025-11-12 02:08:24 - Merge      | Desc | size=   100 | case=reversed       | duration=0.000149s
2025-11-12 02:08:25 - Bubble     | Asc  | size=  1000 | case=reversed       | duration=0.086670s
2025-11-12 02:08:25 - Selection  | Asc  | size=  1000 | case=reversed       | duration=0.024971s
2025-11-12 02:08:25 - Quick      | Asc  | size=  1000 | case=reversed       | duration=0.001724s
2025-11-12 02:08:25 - Merge      | Asc  | size=  1000 | case=reversed       | duration=0.001717s
2025-11-12 02:08:25 - Bubble     | Desc | size=  1000 | case=reversed       | duration=0.045729s
2025-11-12 02:08:25 - Selection  | Desc | size=  1000 | case=reversed       | duration=0.026221s
2025-11-12 02:08:25 - Quick      | Desc | size=  1000 | case=reversed       | duration=0.001203s
2025-11-12 02:08:25 - Merge      | Desc | size=  1000 | case=reversed       | duration=0.001651s
2025-11-12 02:08:25 - Bubble     | Asc  | size=     0 | case=almost_sorted  | duration=0.000006s
2025-11-12 02:08:25 - Selection  | Asc  | size=     0 | case=almost_sorted  | duration=0.000007s
2025-11-12 02:08:25 - Quick      | Asc  | size=     0 | case=almost_sorted  | duration=0.000012s
2025-11-12 02:08:25 - Merge      | Asc  | size=     0 | case=almost_sorted  | duration=0.000007s
2025-11-12 02:08:25 - Bubble     | Desc | size=     0 | case=almost_sorted  | duration=0.000007s
2025-11-12 02:08:25 - Selection  | Desc | size=     0 | case=almost_sorted  | duration=0.000008s
2025-11-12 02:08:25 - Quick      | Desc | size=     0 | case=almost_sorted  | duration=0.000008s
2025-11-12 02:08:25 - Merge      | Desc | size=     0 | case=almost_sorted  | duration=0.000008s
2025-11-12 02:08:25 - Bubble     | Asc  | size=     1 | case=almost_sorted  | duration=0.000013s
2025-11-12 02:08:25 - Selection  | Asc  | size=     1 | case=almost_sorted  | duration=0.000011s
